"Zika_gene_id"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"Zika_parsed_bnum"
2678	"b2760"	"casA"	NA	"type I-E CRISPR system Cascade subunit CasA"	2882630	2884138	"-"	"CDS"	NA	"b2760"
2679	"b2761"	"ygcB"	NA	"CRISPR-associated endonuclease/helicase Cas3"	2884553	2887219	"-"	"CDS"	NA	"b2761"
2680	"b2762"	"cysH"	NA	"phosphoadenosine phosphosulfate reductase"	2887578	2888312	"-"	"CDS"	NA	"b2762"
2681	"b2763"	"cysI"	NA	"sulfite reductase, hemoprotein subunit"	2888387	2890099	"-"	"CDS"	NA	"b2763"
2682	"b2764"	"cysJ"	NA	"sulfite reductase, flavoprotein subunit"	2890099	2891898	"-"	"CDS"	NA	"b2764"
2683	"b2765"	"queD"	NA	"6-carboxy-5,6,7,8-tetrahydropterin synthase"	2892214	2892579	"+"	"CDS"	NA	"b2765"
2684	"b2766"	"ygcN"	NA	"putative oxidoreductase with FAD/NAD(P)-binding domain"	2892657	2893928	"+"	"CDS"	NA	"b2766"
2685	"b2767"	"ygcO"	NA	"putative 4Fe-4S cluster-containing protein"	2893919	2894179	"+"	"CDS"	NA	"b2767"
2686	"b2768"	"ygcP"	NA	"putative anti-terminator regulatory protein"	2894196	2894771	"+"	"CDS"	NA	"b2768"
2687	"b2769"	"ygcQ"	NA	"putative flavoprotein"	2894919	2895779	"-"	"CDS"	NA	"b2769"
2688	"b2770"	"ygcR"	NA	"putative flavoprotein"	2895776	2896555	"-"	"CDS"	NA	"b2770"
2689	"b2771"	"ygcS"	NA	"putative transporter YgcS"	2896533	2897870	"-"	"CDS"	NA	"b2771"
2690	"b4463"	"ygcU"	NA	"putative FAD-containing dehydrogenase"	2897964	2899418	"-"	"CDS"	NA	"b4463"
2691	"b2774"	"ygcW"	NA	"putative deoxygluconate dehydrogenase"	2899488	2900273	"-"	"CDS"	NA	"b2774"
2692	"b2775"	"yqcE"	NA	"putative transport protein YqcE"	2900592	2901869	"+"	"CDS"	NA	"b2775"
2693	"b2776"	"ygcE"	NA	"putative sugar kinase YgcE"	2901896	2903374	"+"	"CDS"	NA	"b2776"
2694	"b2777"	"queE"	NA	"putative 7-carboxy-7-deazaguanine synthase QueE"	2904747	2905418	"-"	"CDS"	NA	"b2777"
2695	"b4682"	"yqcG"	NA	"cell envelope stress response protein YqcG"	2905557	2905697	"+"	"CDS"	NA	"b4682"
2696	"b2778"	"ygcG"	NA	"protein YgcG"	2905711	2906583	"+"	"CDS"	NA	"b2778"
2697	"b2779"	"eno"	NA	"enolase"	2906643	2907941	"-"	"CDS"	NA	"b2779"
2698	"b2780"	"pyrG"	NA	"CTP synthetase"	2908029	2909666	"-"	"CDS"	NA	"b2780"
2699	"b2781"	"mazG"	NA	"nucleoside triphosphate pyrophosphohydrolase"	2909894	2910685	"-"	"CDS"	NA	"b2781"
2700	"b2782"	"mazF"	NA	"endoribonuclease toxin MazF"	2910756	2911091	"-"	"CDS"	1	"b2782"
2701	"b2784"	"relA"	NA	"GDP/GTP pyrophosphokinase"	2911417	2913651	"-"	"CDS"	NA	"b2784"
2702	"b2785"	"rlmD"	NA	"23S rRNA m(5)U1939 methyltransferase"	2913699	2915000	"-"	"CDS"	NA	"b2785"
2703	"b2786"	"barA"	NA	"sensory histidine kinase BarA"	2915057	2917813	"+"	"CDS"	NA	"b2786"
2704	"b2787"	"gudD"	NA	"D-glucarate dehydratase"	2918045	2919385	"-"	"CDS"	NA	"b2787"
2705	"b2788"	"gudX"	NA	"glucarate dehydratase-related protein"	2919406	2920746	"-"	"CDS"	NA	"b2788"
2706	"b2789"	"gudP"	NA	"galactarate/glucarate/glycerate transporter GudP"	2920748	2922100	"-"	"CDS"	NA	"b2789"
2707	"b2790"	"yqcA"	NA	"putative flavodoxin YqcA"	2922535	2922984	"-"	"CDS"	NA	"b2790"
2708	"b2791"	"truC"	NA	"tRNA pseudouridine(65) synthase"	2923002	2923784	"-"	"CDS"	NA	"b2791"
2709	"b2792"	"yqcC"	NA	"DUF446 domain-containing protein YqcC"	2923784	2924113	"-"	"CDS"	NA	"b2792"
2710	"b2793"	"syd"	NA	"SecY-interacting protein"	2924735	2925280	"-"	"CDS"	NA	"b2793"
2711	"b2794"	"queF"	NA	"7-cyano-7-deazaguanine reductase"	2925348	2926196	"+"	"CDS"	NA	"b2794"
2712	"b2795"	"ygdH"	NA	"nucleotide 5-monophosphate nucleosidase"	2926308	2927672	"+"	"CDS"	NA	"b2795"
2713	"b2796"	"sdaC"	NA	"serine:H(+) symporter SdaC"	2928229	2929518	"+"	"CDS"	NA	"b2796"
2714	"b2797"	"sdaB"	NA	"L-serine deaminase II"	2929576	2930943	"+"	"CDS"	NA	"b2797"
2715	"b2798"	"ygdG"	NA	"flap endonuclease"	2931055	2931810	"+"	"CDS"	NA	"b2798"
2716	"b2799"	"fucO"	NA	"L-1,2-propanediol oxidoreductase"	2931865	2933013	"-"	"CDS"	NA	"b2799"
2717	"b2800"	"fucA"	NA	"L-fuculose-phosphate aldolase"	2933041	2933688	"-"	"CDS"	NA	"b2800"
2718	"b2801"	"fucP"	NA	"L-fucose:H(+) symporter"	2934235	2935551	"+"	"CDS"	NA	"b2801"
2719	"b2802"	"fucI"	NA	"L-fucose isomerase"	2935584	2937359	"+"	"CDS"	NA	"b2802"
2720	"b2803"	"fucK"	NA	"L-fuculokinase"	2937468	2938886	"+"	"CDS"	NA	"b2803"
2721	"b2804"	"fucU"	NA	"L-fucose mutarotase"	2938888	2939310	"+"	"CDS"	NA	"b2804"
2722	"b2806"	"rlmM"	NA	"23S rRNA 2-O-ribose C2498 methyltransferase"	2940143	2941243	"-"	"CDS"	NA	"b2806"
2723	"b2807"	"ygdD"	NA	"conserved inner membrane protein YgdD"	2941236	2941631	"-"	"CDS"	NA	"b2807"
2724	"b2809"	"ygdI"	NA	"DUF903 domain-containing lipoprotein YgdI"	2942918	2943145	"-"	"CDS"	NA	"b2809"
2725	"b2810"	"csdA"	NA	"cysteine sulfinate desulfinase"	2943337	2944542	"+"	"CDS"	NA	"b2810"
2726	"b2811"	"csdE"	NA	"sulfur acceptor protein CsdE"	2944542	2944985	"+"	"CDS"	NA	"b2811"
2727	"b2812"	"tcdA"	NA	"tRNA threonylcarbamoyladenosine dehydratase"	2945036	2945842	"-"	"CDS"	NA	"b2812"
2728	"b2813"	"mltA"	NA	"membrane-bound lytic murein transglycosylase A"	2946081	2947178	"-"	"CDS"	NA	"b2813"
2729	"b2817"	"amiC"	NA	"N-acetylmuramoyl-L-alanine amidase C"	2947757	2949010	"-"	"CDS"	NA	"b2817"
2730	"b2818"	"argA"	NA	"N-acetylglutamate synthase"	2949242	2950573	"+"	"CDS"	NA	"b2818"
2731	"b2819"	"recD"	NA	"exodeoxyribonuclease V subunit RecD"	2950635	2952461	"-"	"CDS"	NA	"b2819"
2732	"b2820"	"recB"	NA	"exodeoxyribonuclease V subunit RecB"	2952461	2956003	"-"	"CDS"	NA	"b2820"
2733	"b2821"	"ptrA"	NA	"protease 3"	2955996	2958884	"-"	"CDS"	NA	"b2821"
2734	"b2822"	"recC"	NA	"exodeoxyribonuclease V subunit RecC"	2959060	2962428	"-"	"CDS"	NA	"b2822"
2735	"b2823"	"ppdC"	NA	"putative YgdA"	2962441	2962764	"-"	"CDS"	NA	"b2823"
2736	"b2824"	"ygdB"	NA	"DUF2509 domain-containing protein YgdB"	2962749	2963156	"-"	"CDS"	NA	"b2824"
2737	"b2825"	"ppdB"	NA	"conserved protein PpdB"	2963153	2963716	"-"	"CDS"	NA	"b2825"
2738	"b2826"	"ppdA"	NA	"conserved protein PpdA"	2963707	2964177	"-"	"CDS"	NA	"b2826"
2739	"b2827"	"thyA"	NA	"thymidylate synthase"	2964361	2965155	"-"	"CDS"	NA	"b2827"
2740	"b2828"	"lgt"	NA	"phosphatidylglycerol--prolipoprotein diacylglyceryl transferase"	2965162	2966037	"-"	"CDS"	NA	"b2828"
2741	"b2829"	"ptsP"	NA	"phosphoenolpyruvate-protein phosphotransferase PtsP"	2966188	2968434	"-"	"CDS"	NA	"b2829"
2742	"b2830"	"rppH"	NA	"RNA pyrophosphohydrolase"	2968447	2968977	"-"	"CDS"	NA	"b2830"
2743	"b2831"	"mutH"	NA	"DNA mismatch repair protein MutH"	2969662	2970351	"+"	"CDS"	NA	"b2831"
2744	"b2832"	"ygdQ"	NA	"UPF0053 inner membrane protein YgdQ"	2970420	2971133	"+"	"CDS"	NA	"b2832"
2745	"b2833"	"ygdR"	NA	"DUF903 domain-containing lipoprotein YgdR"	2971271	2971489	"+"	"CDS"	NA	"b2833"
2746	"b2834"	"tas"	NA	"putative NADP(H)-dependent aldo-keto reductase Tas"	2971597	2972637	"+"	"CDS"	NA	"b2834"
2747	"b2835"	"lplT"	NA	"lysophospholipid transporter"	2972669	2973862	"-"	"CDS"	NA	"b2835"
2748	"b2836"	"aas"	NA	"acyltransferase"	2973855	2976014	"-"	"CDS"	NA	"b2836"
2749	"b2838"	"lysA"	NA	"diaminopimelate decarboxylase"	2977637	2978899	"-"	"CDS"	NA	"b2838"
2750	"b2840"	"ygeA"	NA	"amino acid racemase"	2979943	2980635	"-"	"CDS"	NA	"b2840"
2751	"b2841"	"araE"	NA	"arabinose:H(+) symporter"	2980764	2982182	"-"	"CDS"	NA	"b2841"
2752	"b2842"	"kduD"	NA	"putative 2-keto-3-deoxy-D-gluconate dehydrogenase"	2982497	2983258	"-"	"CDS"	NA	"b2842"
2753	"b2843"	"kduI"	NA	"5-dehydro-4-deoxy-D-glucuronate isomerase"	2983288	2984124	"-"	"CDS"	NA	"b2843"
2754	"b2844"	"yqeF"	NA	"putative acyltransferase"	2984411	2985592	"-"	"CDS"	NA	"b2844"
2755	"b2845"	"yqeG"	NA	"putative transporter YqeG"	2985847	2987076	"+"	"CDS"	NA	"b2845"
2756	"b2848"	"yqeJ"	NA	"protein YqeJ"	2989304	2989786	"+"	"CDS"	NA	"b2848"
2757	"b4683"	"yqeL"	NA	"uncharacterized protein YqeL"	2989819	2989899	"-"	"CDS"	NA	"b4683"
2758	"b2849"	"yqeK"	NA	"protein YqeK"	2989935	2990360	"-"	"CDS"	NA	"b2849"
2759	"b2851"	"ygeG"	NA	"TPR repeat-containing putative chaperone YgeG"	2991268	2991759	"+"	"CDS"	NA	"b2851"
2760	"b2853"	"ygeI"	NA	"protein YgeI"	2993638	2993856	"+"	"CDS"	NA	"b2853"
2761	"b2865"	"ygeR"	NA	"LysM domain-containing putative peptidase lipoprotein YgeR"	2999136	2999891	"-"	"CDS"	NA	"b2865"
2762	"b2866"	"xdhA"	NA	"putative xanthine dehydrogenase molybdenum-binding subunit XdhA"	3000345	3002603	"+"	"CDS"	NA	"b2866"
2763	"b2867"	"xdhB"	NA	"putative xanthine dehydrogenase FAD-binding subunit XdhB"	3002614	3003492	"+"	"CDS"	NA	"b2867"
2764	"b2868"	"xdhC"	NA	"putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC"	3003489	3003968	"+"	"CDS"	NA	"b2868"
2765	"b2870"	"ygeW"	NA	"putative carbamoyltransferase YgeW"	3006262	3007452	"+"	"CDS"	NA	"b2870"
2766	"b2871"	"ygeX"	NA	"2,3-diaminopropionate ammonia-lyase"	3007510	3008706	"+"	"CDS"	NA	"b2871"
2767	"b2872"	"ygeY"	NA	"putative peptidase YgeY"	3008764	3009975	"+"	"CDS"	NA	"b2872"
2768	"b2874"	"yqeA"	NA	"putative amino acid kinase YqeA"	3011461	3012393	"+"	"CDS"	NA	"b2874"
2769	"b2875"	"yqeB"	NA	"XdhC-CoxI family protein YqeB"	3012614	3014239	"-"	"CDS"	NA	"b2875"
2770	"b2876"	"yqeC"	NA	"uncharacterized protein YqeC"	3014287	3015057	"-"	"CDS"	NA	"b2876"
2771	"b2877"	"mocA"	NA	"molybdenum cofactor cytidylyltransferase"	3015160	3015738	"+"	"CDS"	NA	"b2877"
2772	"b2878"	"ygfK"	NA	"putative oxidoreductase, Fe-S subunit"	3016060	3019158	"+"	"CDS"	NA	"b2878"
2773	"b2879"	"ssnA"	NA	"putative aminohydrolase"	3019161	3020489	"+"	"CDS"	NA	"b2879"
2774	"b2880"	"ygfM"	NA	"putative oxidoreductase"	3020540	3021319	"+"	"CDS"	NA	"b2880"
2775	"b2881"	"xdhD"	NA	"fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit"	3021316	3024186	"+"	"CDS"	NA	"b2881"
2776	"b2882"	"xanQ"	NA	"xanthine:H(+) symporter XanQ"	3024351	3025751	"+"	"CDS"	NA	"b2882"
2777	"b4464"	"ghxQ"	NA	"guanine/hypoxanthine transporter GhxQ"	3027121	3028488	"+"	"CDS"	NA	"b4464"
2778	"b2886"	"ygfS"	NA	"putative oxidoreductase, 4Fe-4S ferredoxin-type subunit"	3028524	3029012	"-"	"CDS"	NA	"b2886"
2779	"b2887"	"ygfT"	NA	"fused putative oxidoreductase, Fe-S subunit and nucleotide-binding subunit"	3029012	3030931	"-"	"CDS"	NA	"b2887"
2780	"b2888"	"uacT"	NA	"urate:H(+) symporter"	3031367	3032815	"+"	"CDS"	NA	"b2888"
2781	"b4684"	"yqfG"	NA	"uncharacterized protein YqfG"	3032817	3032942	"+"	"CDS"	NA	"b4684"
2782	"b2889"	"idi"	NA	"isopentenyl-diphosphate Delta-isomerase"	3033065	3033613	"+"	"CDS"	NA	"b2889"
2783	"b2890"	"lysS"	NA	"lysine--tRNA ligase, constitutive"	3033657	3035174	"-"	"CDS"	NA	"b2890"
2784	"b2891"	"prfB"	NA	"peptide chain release factor RF2"	3035184	3036282	"-"	"CDS"	NA	"b2891"
2785	"b2892"	"recJ"	NA	"ssDNA-specific exonuclease RecJ"	3036373	3038106	"-"	"CDS"	NA	"b2892"
2786	"b2893"	"dsbC"	NA	"protein disulfide isomerase DsbC"	3038112	3038822	"-"	"CDS"	NA	"b2893"
2787	"b2894"	"xerD"	NA	"site-specific recombinase"	3038847	3039743	"-"	"CDS"	NA	"b2894"
2788	"b2895"	"fldB"	NA	"flavodoxin 2"	3039855	3040376	"+"	"CDS"	NA	"b2895"
2789	"b2896"	"cptA"	NA	"protein YgfX"	3040416	3040823	"-"	"CDS"	NA	"b2896"
2790	"b2897"	"sdhE"	NA	"FAD assembly factor"	3040804	3041070	"-"	"CDS"	NA	"b2897"
2791	"b2898"	"ygfZ"	NA	"folate-binding protein"	3041313	3042293	"+"	"CDS"	NA	"b2898"
2792	"b2899"	"yqfA"	NA	"hemolysin-III family protein"	3042489	3043148	"-"	"CDS"	NA	"b2899"
2793	"b2900"	"yqfB"	NA	"PUA-like domain-containing protein YqfB"	3043312	3043623	"-"	"CDS"	NA	"b2900"
2794	"b2901"	"bglA"	NA	"6-phospho-beta-glucosidase A"	3043662	3045101	"+"	"CDS"	NA	"b2901"
2795	"b2902"	"ygfF"	NA	"putative NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain"	3045158	3045901	"-"	"CDS"	NA	"b2902"
2796	"b2903"	"gcvP"	NA	"glycine decarboxylase"	3046168	3049041	"-"	"CDS"	NA	"b2903"
2797	"b2904"	"gcvH"	NA	"glycine cleavage system H protein"	3049160	3049549	"-"	"CDS"	NA	"b2904"
2798	"b2905"	"gcvT"	NA	"aminomethyltransferase"	3049573	3050667	"-"	"CDS"	NA	"b2905"
2799	"b2906"	"ubiI"	NA	"2-octaprenylphenol hydroxylase"	3051115	3052317	"-"	"CDS"	NA	"b2906"
2800	"b2907"	"ubiH"	NA	"2-octaprenyl-6-methoxyphenol hydroxylase"	3052340	3053518	"-"	"CDS"	NA	"b2907"
2801	"b2908"	"pepP"	NA	"proline aminopeptidase P II"	3053515	3054840	"-"	"CDS"	NA	"b2908"
2802	"b2909"	"ygfB"	NA	"UPF0149 family protein YgfB"	3054866	3055444	"-"	"CDS"	NA	"b2909"
2803	"b2910"	"zapA"	NA	"cell division protein ZapA"	3055612	3055941	"+"	"CDS"	NA	"b2910"
2804	"b2912"	"fau"	NA	"putative 5-formyltetrahydrofolate cyclo-ligase"	3056241	3056789	"+"	"CDS"	NA	"b2912"
2805	"b4665"	"ibsC"	NA	"toxic peptide IbsC"	3056890	3056949	"-"	"CDS"	NA	"b4665"
2806	"b2913"	"serA"	NA	"phosphoglycerate dehydrogenase"	3057178	3058410	"-"	"CDS"	NA	"b2913"
2807	"b2914"	"rpiA"	NA	"ribose-5-phosphate isomerase A"	3058666	3059325	"-"	"CDS"	NA	"b2914"
2808	"b2917"	"scpA"	NA	"methylmalonyl-CoA mutase"	3060850	3062994	"+"	"CDS"	NA	"b2917"
2809	"b2918"	"argK"	NA	"methylmalonyl-CoA mutase-interacting GTPase YgfD"	3062987	3063982	"+"	"CDS"	NA	"b2918"
2810	"b2919"	"scpB"	NA	"methylmalonyl-CoA decarboxylase"	3063993	3064778	"+"	"CDS"	NA	"b2919"
2811	"b2920"	"scpC"	NA	"propionyl-CoA:succinate CoA transferase"	3064802	3066280	"+"	"CDS"	NA	"b2920"
2812	"b2922"	"yggE"	NA	"uncharacterized protein YggE"	3067340	3068080	"-"	"CDS"	NA	"b2922"
2813	"b2923"	"argO"	NA	"L-arginine exporter"	3068173	3068808	"-"	"CDS"	NA	"b2923"
2814	"b2924"	"mscS"	NA	"small conductance mechanosensitive channel MscS"	3068947	3069807	"-"	"CDS"	NA	"b2924"
2815	"b2925"	"fbaA"	NA	"fructose-bisphosphate aldolase class II"	3070165	3071244	"-"	"CDS"	NA	"b2925"
2816	"b2926"	"pgk"	NA	"phosphoglycerate kinase"	3071459	3072622	"-"	"CDS"	NA	"b2926"
2817	"b2927"	"epd"	NA	"D-erythrose-4-phosphate dehydrogenase"	3072672	3073691	"-"	"CDS"	NA	"b2927"
2818	"b2928"	"yggC"	NA	"P-loop NTPase domain-containing protein YggC"	3073976	3074689	"-"	"CDS"	NA	"b2928"
2819	"b2930"	"yggF"	NA	"fructose 1,6-bisphosphatase YggF"	3075217	3076182	"-"	"CDS"	NA	"b2930"
2820	"b4465"	"yggP"	NA	"putative zinc-binding dehydrogenase YggP"	3076179	3077456	"-"	"CDS"	NA	"b4465"
2821	"b2933"	"cmtA"	NA	"mannitol-specific PTS enzyme IICB component CmtA"	3077471	3078859	"-"	"CDS"	NA	"b2933"
2822	"b2934"	"cmtB"	NA	"mannitol-specific PTS enzyme IIA component CmtB"	3078887	3079330	"-"	"CDS"	NA	"b2934"
2823	"b2935"	"tktA"	NA	"transketolase 1"	3079644	3081635	"-"	"CDS"	NA	"b2935"
2824	"b2936"	"loiP"	NA	"metalloprotease LoiP"	3081913	3082671	"+"	"CDS"	NA	"b2936"
2825	"b2937"	"speB"	NA	"agmatinase"	3082877	3083797	"-"	"CDS"	NA	"b2937"
2826	"b2938"	"speA"	NA	"arginine decarboxylase, biosynthetic"	3083935	3085911	"-"	"CDS"	NA	"b2938"
2827	"b2939"	"yqgB"	NA	"acid stress response protein YqgB"	3085920	3086051	"-"	"CDS"	NA	"b2939"
2828	"b2940"	"yqgC"	NA	"protein YqgC"	3086187	3086402	"+"	"CDS"	NA	"b2940"
2829	"b2942"	"metK"	NA	"methionine adenosyltransferase"	3086706	3087860	"+"	"CDS"	NA	"b2942"
2830	"b2943"	"galP"	NA	"galactose:H(+) symporter"	3088284	3089678	"+"	"CDS"	NA	"b2943"
2831	"b2944"	"yggI"	NA	"conserved protein YggI"	3089755	3090252	"+"	"CDS"	NA	"b2944"
2832	"b2945"	"endA"	NA	"DNA-specific endonuclease I"	3090347	3091054	"+"	"CDS"	NA	"b2945"
2833	"b2946"	"rsmE"	NA	"16S rRNA m(3)U1498 methyltransferase"	3091134	3091865	"+"	"CDS"	NA	"b2946"
2834	"b2947"	"gshB"	NA	"glutathione synthetase"	3091878	3092828	"+"	"CDS"	NA	"b2947"
2835	"b2948"	"yqgE"	NA	"DUF179 domain-containing protein YqgE"	3092937	3093500	"+"	"CDS"	NA	"b2948"
2836	"b2949"	"yqgF"	NA	"ribonuclease H-like domain containing nuclease"	3093500	3093916	"+"	"CDS"	0	"b2949"
2837	"b2950"	"yggR"	NA	"Type II/IV secretion system family protein"	3094100	3095080	"-"	"CDS"	NA	"b2950"
2838	"b2951"	"yggS"	NA	"PLP homeostasis protein"	3095098	3095802	"+"	"CDS"	NA	"b2951"
2839	"b2952"	"yggT"	NA	"uncharacterized protein YggT"	3095820	3096386	"+"	"CDS"	NA	"b2952"
2840	"b2953"	"yggU"	NA	"conserved protein YggU"	3096383	3096673	"+"	"CDS"	NA	"b2953"
2841	"b2954"	"rdgB"	NA	"dITP/XTP pyrophosphatase"	3096681	3097274	"+"	"CDS"	NA	"b2954"
2842	"b2955"	"yggW"	NA	"putative coproporphyrinogen-III oxidase-like protein YggW"	3097267	3098403	"+"	"CDS"	NA	"b2955"
2843	"b2956"	"yggM"	NA	"DUF1202 domain-containing protein YggM"	3098558	3099565	"-"	"CDS"	NA	"b2956"
2844	"b2957"	"ansB"	NA	"L-asparaginase 2"	3099682	3100728	"-"	"CDS"	NA	"b2957"
2845	"b2958"	"yggN"	NA	"putative EcfF"	3100904	3101623	"-"	"CDS"	NA	"b2958"
2846	"b2959"	"yggL"	NA	"protein YggL"	3101807	3102133	"-"	"CDS"	NA	"b2959"
2847	"b2960"	"trmI"	NA	"tRNA m(7)G46 methyltransferase"	3102133	3102852	"-"	"CDS"	NA	"b2960"
2848	"b2961"	"mutY"	NA	"adenine DNA glycosylase"	3103013	3104065	"+"	"CDS"	NA	"b2961"
2849	"b2962"	"yggX"	NA	"putative Fe(2(+))-trafficking protein"	3104093	3104368	"+"	"CDS"	NA	"b2962"
2850	"b2963"	"mltC"	NA	"membrane-bound lytic murein transglycosylase C"	3104433	3105512	"+"	"CDS"	NA	"b2963"
2851	"b2964"	"nupG"	NA	"nucleoside:H(+) symporter NupG"	3105714	3106970	"+"	"CDS"	NA	"b2964"
2852	"b2965"	"speC"	NA	"ornithine decarboxylase, biosynthetic"	3107020	3109155	"-"	"CDS"	NA	"b2965"
2853	"b2966"	"yqgA"	NA	"DUF554 domain-containing protein YqgA"	3109553	3110260	"+"	"CDS"	NA	"b2966"
2854	"b2968"	"yghD"	NA	"putative type II secretion system M-type protein"	3110590	3111126	"-"	"CDS"	NA	"b2968"
2855	"b2971"	"yghG"	NA	"lipoprotein YghG"	3113067	3113477	"-"	"CDS"	NA	"b2971"
2856	"b2972"	"pppA"	NA	"prepilin peptidase"	3113543	3114352	"-"	"CDS"	NA	"b2972"
2857	"b4466"	"sslE"	NA	"putative lipoprotein YghJ"	3114550	3119112	"-"	"CDS"	NA	"b4466"
2858	"b2975"	"glcA"	NA	"glycolate/lactate:H(+) symporter GlcA"	3119597	3121279	"-"	"CDS"	NA	"b2975"
2859	"b2976"	"glcB"	NA	"malate synthase G"	3121634	3123805	"-"	"CDS"	NA	"b2976"
2860	"b2977"	"glcG"	NA	"putative heme-binding protein GlcG"	3123827	3124231	"-"	"CDS"	NA	"b2977"
2861	"b4467"	"glcF"	NA	"glycolate dehydrogenase, putative iron-sulfur subunit"	3124236	3125459	"-"	"CDS"	NA	"b4467"
2862	"b4468"	"glcE"	NA	"glycolate dehydrogenase, putative FAD-binding subunit"	3125470	3126522	"-"	"CDS"	NA	"b4468"
2863	"b2979"	"glcD"	NA	"glycolate dehydrogenase, putative FAD-linked subunit"	3126522	3128021	"-"	"CDS"	NA	"b2979"
2864	"b2983"	"yghQ"	NA	"putative transport protein YghQ"	3131341	3132408	"-"	"CDS"	NA	"b2983"
2865	"b2984"	"yghR"	NA	"putative ATP-binding protein YghR"	3132454	3133212	"-"	"CDS"	NA	"b2984"
2866	"b2985"	"yghS"	NA	"putative ATP-binding protein YghS"	3133244	3133957	"-"	"CDS"	NA	"b2985"
2867	"b2986"	"yghT"	NA	"putative ATP-binding protein YghT"	3134131	3134823	"+"	"CDS"	NA	"b2986"
2868	"b2987"	"pitB"	NA	"metal phosphate:H(+) symporter PitB"	3134872	3136371	"-"	"CDS"	NA	"b2987"
2869	"b2988"	"gss"	NA	"fused glutathionylspermidine amidase/glutathionylspermidine synthetase"	3136663	3138522	"-"	"CDS"	NA	"b2988"
2870	"b2989"	"yghU"	NA	"disulfide reductase/organic hydroperoxide reductase"	3138727	3139593	"+"	"CDS"	NA	"b2989"
2871	"b2990"	"hybG"	NA	"hydrogenase 2 accessory protein"	3139716	3139964	"-"	"CDS"	NA	"b2990"
2872	"b2991"	"hybF"	NA	"hydrogenase maturation protein HybF"	3139977	3140318	"-"	"CDS"	NA	"b2991"
2873	"b2992"	"hybE"	NA	"hydrogenase 2-specific chaperone"	3140311	3140799	"-"	"CDS"	NA	"b2992"
2874	"b2993"	"hybD"	NA	"putative hydrogenase 2 maturation protease"	3140792	3141286	"-"	"CDS"	NA	"b2993"
2875	"b2994"	"hybC"	NA	"hydrogenase 2 large subunit"	3141286	3142989	"-"	"CDS"	NA	"b2994"
2876	"b2995"	"hybB"	NA	"hydrogenase 2 membrane subunit"	3142986	3144164	"-"	"CDS"	NA	"b2995"
2877	"b2996"	"hybA"	NA	"hydrogenase 2 iron-sulfur protein"	3144154	3145140	"-"	"CDS"	NA	"b2996"
2878	"b2997"	"hybO"	NA	"hydrogenase 2 small subunit"	3145143	3146261	"-"	"CDS"	NA	"b2997"
2879	"b2998"	"yghW"	NA	"DUF2623 domain-containing protein YghW"	3146450	3146737	"-"	"CDS"	NA	"b2998"
2880	"b3001"	"gpr"	NA	"L-glyceraldehyde 3-phosphate reductase"	3147897	3148937	"+"	"CDS"	NA	"b3001"
2881	"b3002"	"yqhA"	NA	"uncharacterized protein YqhA"	3148977	3149471	"-"	"CDS"	NA	"b3002"
2882	"b3003"	"yghA"	NA	"NADP(+)-dependent aldehyde reductase"	3149662	3150546	"+"	"CDS"	NA	"b3003"
2883	"b3005"	"exbD"	NA	"Ton complex subunit ExbD"	3150818	3151243	"-"	"CDS"	NA	"b3005"
2884	"b3006"	"exbB"	NA	"Ton complex subunit ExbB"	3151250	3151984	"-"	"CDS"	NA	"b3006"
2885	"b3008"	"metC"	NA	"cystathionine beta-lyase/L-cysteine desulfhydrase"	3152236	3153423	"+"	"CDS"	NA	"b3008"
2886	"b3009"	"yghB"	NA	"DedA family protein YghB"	3153563	3154222	"+"	"CDS"	NA	"b3009"
2887	"b3011"	"yqhD"	NA	"NADPH-dependent aldehyde reductase YqhD"	3155355	3156518	"+"	"CDS"	NA	"b3011"
2888	"b3012"	"dkgA"	NA	"methylglyoxal reductase DkgA"	3156623	3157450	"+"	"CDS"	NA	"b3012"
2889	"b3013"	"yqhG"	NA	"DUF3828 domain-containing protein YqhG"	3157650	3158576	"+"	"CDS"	NA	"b3013"
2890	"b3014"	"yqhH"	NA	"lipoprotein YqhH"	3158627	3158884	"+"	"CDS"	NA	"b3014"
2891	"b4469"	"ygiQ"	NA	"radical SAM superfamily protein YgiQ"	3158927	3161146	"-"	"CDS"	NA	"b4469"
2892	"b3017"	"ftsP"	NA	"cell division protein required during stress conditions"	3161257	3162669	"-"	"CDS"	NA	"b3017"
2893	"b3018"	"plsC"	NA	"1-acylglycerol-3-phosphate O-acyltransferase"	3162744	3163481	"-"	"CDS"	NA	"b3018"
2894	"b3019"	"parC"	NA	"DNA topoisomerase IV subunit A"	3163715	3165973	"-"	"CDS"	NA	"b3019"
2895	"b3020"	"ygiS"	NA	"putative deoxycholate binding periplasmic protein"	3166111	3167718	"-"	"CDS"	NA	"b3020"
2896	"b3023"	"ygiV"	NA	"DNA-binding transcriptional repressor YgiV"	3168749	3169231	"-"	"CDS"	1	"b3023"
