Consensus_bnumber	Consensus_symbol	Consensus_start	Consensus_stop	Consensus_strand	Consensus_TF	gene_synonyms	product_synonyms	RegulonDB_gene_id	RegulonDB_symbol	RegulonDB_bnumber	RegulonDB_strand	RegulonDB_type	RegulonDB_product_id	RegulonDB_product_name	RegulonDB_product_type	RegulonDB_start	RegulonDB_stop	RegulonDB_TF	refseq_id
b1694	ydiF	1775587	1777182	+	0	"b1694,ECK1692,EG12432,ydiF,ECK120002287"	"fused predicted acetyl-CoA:acetoacetyl-CoA transferase: &alpha; subunit/&beta; subunit,YdiF,ECK120006762,NP_416209.1"	ECK120002287	ydiF	b1694	+	NA	ECK120006762	putative acetate-CoA transferase YdiF	NA	1775587	1777182	0	NP_416209.1
b1695	ydiO	1777196	1778347	+	0	"b1695,ECK1693,G6918,ydiO,ECK120003506"	"YdiO,ECK120007962,NP_416210.4"	ECK120003506	ydiO	b1695	+	NA	ECK120007962	putative acyl-CoA dehydrogenase YdiO	NA	1777196	1778347	0	NP_416210.4
b1696	ydiP	1778390	1779301	-	0	"b1696,ECK1694,G6919,ydiP,ECK120003507"	"YdiP,ECK120007963,NP_416211.1"	ECK120003507	ydiP	b1696	-	NA	ECK120007963	putative DNA-binding transcriptional regulator YdiP	NA	1778390	1779301	0	NP_416211.1
b1697	ydiQ	1779617	1780381	+	0	"b1697,ECK1695,G6920,ydiQ,ECK120003508"	"YdiQ,ECK120007964,NP_416212.1"	ECK120003508	ydiQ	b1697	+	NA	ECK120007964	putative electron transfer flavoprotein subunit YdiQ	NA	1779617	1780381	0	NP_416212.1
b1698	ydiR	1780401	1781339	+	0	"b1698,ECK1696,G6921,ydiR,ECK120003509"	"putative electron transport flavoprotein, FAD-binding,YdiR,ECK120007965,NP_416213.1"	ECK120003509	ydiR	b1698	+	NA	ECK120007965	putative electron transfer flavoprotein subunit YdiR	NA	1780401	1781339	0	NP_416213.1
b1699	ydiS	1781395	1782684	+	0	"b1699,ECK1697,G6922,ydiS,ECK120003510"	"putative oxidoreductase with FAD/NAD(P)-binding domain,YdiS,ECK120007966,NP_416214.1"	ECK120003510	ydiS	b1699	+	NA	ECK120007966	putative electron transfer flavoprotein-quinone oxidoreductase YdiS	NA	1781395	1782684	0	NP_416214.1
b1700	ydiT	1782681	1782974	+	0	"b1700,ECK1698,G6923,ydiT,ECK120003511"	"putative 4Fe-4S ferredoxin-type protein,YdiT,ECK120007967,NP_416215.1"	ECK120003511	ydiT	b1700	+	NA	ECK120007967	ferredoxin-like protein YdiT	NA	1782681	1782974	0	NP_416215.1
b1701	fadK	1782977	1784677	+	0	"b1701,ECK1699,EG12357,ydiD,fadK,ECK120002225"	"FadK,YdiD,ECK120006700,NP_416216.4"	ECK120002225	fadK	b1701	+	NA	ECK120006700	short chain acyl-CoA synthetase	NA	1782977	1784677	0	NP_416216.4
b1702	ppsA	1784734	1787112	-	0	"b1702,ECK1700,EG10759,pps,ppsA,ECK120000750"	"Pps,PpsA,ECK120005226,NP_416217.1"	ECK120000750	ppsA	b1702	-	NA	ECK120005226	phosphoenolpyruvate synthetase	NA	1784734	1787112	0	NP_416217.1
b1703	ppsR	1787445	1788278	+	0	"b1703,ECK1701,EG11132,ydiA,ppsR,ECK120001116"	"PEP synthetase regulatory protein,PpsR,YdiA,ECK120005592,NP_416218.1"	ECK120001116	ppsR	b1703	+	NA	ECK120005592	posphoenolpyruvate synthetase regulatory protein	NA	1787445	1788278	0	NP_416218.1
b1704	aroH	1788435	1789481	+	0	"b1704,ECK1702,EG10080,aroH,ECK120000076"	"2-dehydro-3-deoxyphosphoheptonate aldolase,AroH,ECK120004552,NP_416219.1"	ECK120000076	aroH	b1704	+	NA	ECK120004552	"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive"	NA	1788435	1789481	0	NP_416219.1
b1705	ydiE	1789613	1789804	+	0	"b1705,ECK1703,EG12391,ydiE,ECK120002254"	"conserved protein YdiE,YdiE,ECK120006729,NP_416220.1"	ECK120002254	ydiE	b1705	+	NA	ECK120006729	PF10636 family protein YdiE	NA	1789613	1789804	0	NP_416220.1
b1706	ydiU	1789808	1791244	-	0	"b1706,ECK1704,G6924,ydiU,ECK120003512"	"YdiU,ECK120007968,NP_416221.1"	ECK120003512	ydiU	b1706	-	NA	ECK120007968	UPF0061 family protein YdiU	NA	1789808	1791244	0	NP_416221.1
b1707	ydiV	1791307	1792020	-	0	"b1707,ECK1705,G6925,rflP,ydiV,ECK120003513"	"RflP,YdiV,ECK120007969,NP_416222.1"	ECK120003513	ydiV	b1707	-	NA	ECK120007969	anti-FlhDC factor	NA	1791307	1792020	0	NP_416222.1
b1708	nlpC	1792267	1792731	-	0	"b1708,ECK1706,EG11133,nlpC,ECK120001117"	"NlpC,ECK120005593,NP_416223.1"	ECK120001117	nlpC	b1708	-	NA	ECK120005593	NlpC/P60 family lipoprotein NlpC	NA	1792267	1792731	0	NP_416223.1
b1709	btuD	1792809	1793558	-	0	"b1709,ECK1707,EG10128,btuD,ECK120000124"	"BtuD,ECK120004600,NP_416224.1"	ECK120000124	btuD	b1709	-	NA	ECK120004600	vitamin B<sub>12</sub> ABC transporter ATP binding subunit	NA	1792809	1793558	0	NP_416224.1
b1710	btuE	1793558	1794109	-	0	"b1710,ECK1708,EG10129,btuE,ECK120000125"	"BtuE,ECK120004601,NP_416225.1"	ECK120000125	btuE	b1710	-	NA	ECK120004601	thioredoxin/glutathione peroxidase	NA	1793558	1794109	0	NP_416225.1
b1711	btuC	1794172	1795152	-	0	"b1711,ECK1709,EG10127,btuC,ECK120000123"	"BtuC,ECK120004599,NP_416226.1"	ECK120000123	btuC	b1711	-	NA	ECK120004599	vitamin B<sub>12</sub> ABC transporter membrane subunit	NA	1794172	1795152	0	NP_416226.1
b1712	ihfA	1795253	1795552	-	1	"b1712,ECK1710,EG10440,hid,himA,ihfA,ECK120000433"	"Hid,HimA,IhfA,integration host factor (IHF), &alpha; subunit; site specific recombination,ECK120004909,NP_416227.1"	ECK120000433	ihfA	b1712	-	NA	ECK120004909	integration host factor subunit &alpha;	NA	1795253	1795552	1	NP_416227.1
b1713	pheT	1795557	1797944	-	0	"b1713,ECK1711,EG10710,pheT,ECK120000702"	"PheT,ECK120005178,NP_416228.1"	ECK120000702	pheT	b1713	-	NA	ECK120005178	phenylalanine&mdash;tRNA ligase subunit &beta;	NA	1795557	1797944	0	NP_416228.1
b1714	pheS	1797959	1798942	-	0	"b1714,ECK1712,EG10709,phe-act,pheS,ECK120000701"	"PheS,ECK120005177,NP_416229.1"	ECK120000701	pheS	b1714	-	NA	ECK120005177	phenylalanine&mdash;tRNA ligase subunit &alpha;	NA	1797959	1798942	0	NP_416229.1
b1715	pheM	1799226	1799270	-	0	"b1715,ECK1713,EG11272,phtL,pheM,ECK120001246"	"PheM,phenylalanyl-tRNA synthetase (pheST) operon leader peptide,PhtL,ECK120005722,NP_416230.1"	ECK120001246	pheM	b1715	-	NA	ECK120005722	<i>pheST-ihfA</i> operon leader peptide	NA	1799226	1799270	0	NP_416230.1
b1716	rplT	1799393	1799749	-	0	"b1716,ECK1714,EG10881,pdzA,rplT,ECK120000872"	"PdzA,RplT,ECK120005348,NP_416231.1"	ECK120000872	rplT	b1716	-	NA	ECK120005348	50S ribosomal subunit protein L20	NA	1799393	1799749	0	NP_416231.1
b1717	rpmI	1799802	1799999	-	0	"b1717,ECK1715,EG11231,rpmI,ECK120001209"	"50S ribosomal subunit protein A,RpmI,X1 protein,ECK120005685,NP_416232.3"	ECK120001209	rpmI	b1717	-	NA	ECK120005685	50S ribosomal subunit protein L35	NA	1799802	1799999	0	NP_416232.3
b1718	infC	1800096	1800638	-	0	"b1718,ECK1716,EG10506,fit,srjA,infC,ECK120000499"	"Fit,IF3,InfC,protein chain initiation factor IF-3,SrjA,ECK120004975,NP_416233.1"	ECK120000499	infC	b1718	-	NA	ECK120004975	translation initiation factor IF-3	NA	1800096	1800638	0	NP_416233.1
b1719	thrS	1800642	1802570	-	0	"b1719,ECK1717,EG11001,thrS,ECK120000990"	"ThrRS,ThrS,ECK120005466,NP_416234.1"	ECK120000990	thrS	b1719	-	NA	ECK120005466	threonine&mdash;tRNA ligase	NA	1800642	1802570	0	NP_416234.1
b4494	arpB	1803094	1804993	+	0	"b1720,b1721,b4494,ECK1718,G6926,ydiW,ydiX,arpB,ECK120003514"	"b4494,ECK120007970"	ECK120003514	arpB	b4494	+	Pseudo Gene	ECK120007970	"putative ankyrin repeat protein B, N-terminal fragment"	NA	1803094	1804993	0	NA
b4535	yniD	1805165	1805272	+	0	"b4535,ECK1719,G0-10453,yniD,ECK120016305"	"YniD,ECK120016378,YP_588455.2"	ECK120016305	yniD	b4535	+	NA	ECK120016378	uncharacterized protein YniD	NA	1805165	1805272	0	YP_588455.2
b1722	ydiY	1805325	1806083	-	0	"b1722,ECK1720,G6928,ydiY,ECK120003516"	"YdiY,ECK120007972,NP_416236.1"	ECK120003516	ydiY	b1722	-	NA	ECK120007972	acid-inducible putative outer membrane protein YdiY	NA	1805325	1806083	0	NP_416236.1
b1723	pfkB	1806370	1807299	+	0	"b1723,ECK1721,EG10700,pfkB,ECK120000692"	"6-phosphofructokinase II,PfkB,ECK120005168,NP_416237.3"	ECK120000692	pfkB	b1723	+	NA	ECK120005168	6-phosphofructokinase 2	NA	1806370	1807299	0	NP_416237.3
b1724	ydiZ	1807400	1807690	+	0	"b1724,ECK1722,G6929,ydiZ,ECK120003517"	"YdiZ,ECK120007973,NP_416238.1"	ECK120003517	ydiZ	b1724	+	NA	ECK120007973	putative endoribonuclease YdiZ	NA	1807400	1807690	0	NP_416238.1
b1725	yniA	1807796	1808656	+	0	"b1725,ECK1723,G6930,yniA,ECK120003518"	"putative phosphotransferase/kinase,YniA,ECK120007974,NP_416239.1"	ECK120003518	yniA	b1725	+	NA	ECK120007974	putative kinase YniA	NA	1807796	1808656	0	NP_416239.1
b1726	yniB	1808697	1809233	-	0	"b1726,ECK1724,G6931,yniB,ECK120003519"	"YniB,ECK120007975,NP_416240.1"	ECK120003519	yniB	b1726	-	NA	ECK120007975	uncharacterized protein YniB	NA	1808697	1809233	0	NP_416240.1
b1727	hxpB	1809380	1810048	+	0	"b1727,ECK1725,G6932,yniC,hxpB,ECK120003520"	"2-deoxyglucose-6-phosphate phosphatase,HAD1,HxpB,YniC,ECK120007976,NP_416241.1"	ECK120003520	hxpB	b1727	+	NA	ECK120007976	hexitol phosphatase B	NA	1809380	1810048	0	NP_416241.1
b1728	ydjM	1810211	1810801	+	0	"b1728,ECK1726,G6933,ydjM,ECK120003521"	"putative inner membrane protein regulated by LexA,YdjM,ECK120007977,NP_416242.6"	ECK120003521	ydjM	b1728	+	NA	ECK120007977	inner membrane protein YdjM	NA	1810211	1810801	0	NP_416242.6
b1729	tcyP	1810934	1812325	+	0	"b1729,ECK1727,G6934,ydjN,tcyP,ECK120003522"	"TcyP,YdjN,ECK120007978,NP_416243.1"	ECK120003522	tcyP	b1729	+	NA	ECK120007978	cystine/sulfocysteine:cation symporter	NA	1810934	1812325	0	NP_416243.1
b1730	ydjO	1812329	1813132	-	0	"b1730,ECK1728,G6935,ydjO,ECK120003523"	"YdjO,ECK120007979,NP_416244.2"	ECK120003523	ydjO	b1730	-	NA	ECK120007979	protein YdjO	NA	1812329	1813132	0	NP_416244.2
b1731	cedA	1813421	1813663	-	0	"b1731,ECK1729,G6936,ydjP,cedA,ECK120003524"	"CedA,YdjP,ECK120007980,NP_416245.2"	ECK120003524	cedA	b1731	-	NA	ECK120007980	cell division modulator	NA	1813421	1813663	0	NP_416245.2
b1732	katE	1813867	1816128	+	0	"b1732,ECK1730,EG10509,katE,ECK120000502"	"KatE,ECK120004978,YP_025308.1"	ECK120000502	katE	b1732	+	NA	ECK120004978	catalase HPII	NA	1813867	1816128	0	YP_025308.1
b1733	chbG	1816386	1817135	-	0	"b1733,celG,ECK1731,EG12198,ydjC,chbG,ECK120002087"	"CelG,ChbG,chitooligosaccharide deacetylase,YdjC,ECK120006563,NP_416247.1"	ECK120002087	chbG	b1733	-	NA	ECK120006563	chitin disaccharide deacetylase	NA	1816386	1817135	0	NP_416247.1
b1734	chbF	1817148	1818500	-	0	"b1734,celF,ECK1732,EG10144,ydjD,chbF,ECK120000140"	"CelF,ChbF,YdjD,ECK120004616,NP_416248.1"	ECK120000140	chbF	b1734	-	NA	ECK120004616	monoacetylchitobiose-6-phosphate hydrolase	NA	1817148	1818500	0	NP_416248.1
b1735	chbR	1818605	1819447	-	1	"b1735,celD,ECK1733,EG10143,chbR,ECK120000139"	"CelD,ChbR,ECK120004615,NP_416249.1"	ECK120000139	chbR	b1735	-	NA	ECK120004615	DNA-binding transcriptional dual regulator ChbR	NA	1818605	1819447	1	NP_416249.1
b1736	chbA	1819455	1819805	-	0	"b1736,celC,ECK1734,EG10142,chbA,ECK120000138"	"CelC,ChbA,EIIA<sup>chb</sup>,EIII<sup>chb</sup>,Enzyme IIA<sup>chb</sup>,Enzyme III<sup>chb</sup>,ECK120004614,NP_416250.1"	ECK120000138	chbA	b1736	-	NA	ECK120004614	"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component"	NA	1819455	1819805	0	NP_416250.1
b1737	chbC	1819856	1821214	-	0	"b1737,celB,ECK1735,EG10141,hic,chbC,ECK120000137"	"CelB,ChbC,EIIC<sup>cel</sup>,EIIC<sup>chb</sup>,Enzyme IIC<sup>cel</sup>,Enzyme IIC<sup>chb</sup>,Hic,ECK120004613,NP_416251.1"	ECK120000137	chbC	b1737	-	NA	ECK120004613	"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIC component"	NA	1819856	1821214	0	NP_416251.1
b1738	chbB	1821299	1821619	-	0	"b1738,celA,ECK1736,EG10140,chbB,ECK120000136"	"CelA,ChbB,EII<sup>chb</sup>,EIIB<sup>cel</sup>,Enzyme IIB<sup>cel</sup>,Enzyme IIB<sup>chb</sup>,ECK120004612,NP_416252.1"	ECK120000136	chbB	b1738	-	NA	ECK120004612	"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component"	NA	1821299	1821619	0	NP_416252.1
b1739	osmE	1821918	1822256	-	0	"anr,b1739,ECK1737,EG10044,osmE,ECK120000040"	"Anr,OsmE,ECK120004516,NP_416253.1"	ECK120000040	osmE	b1739	-	NA	ECK120004516	osmotically-inducible lipoprotein OsmE	NA	1821918	1822256	0	NP_416253.1
b1740	nadE	1822458	1823285	+	0	"b1740,ECK1738,efg,EG10663,ntrL,nadE,ECK120000656"	"Efg,NadE,NtrL,ECK120005132,NP_416254.1"	ECK120000656	nadE	b1740	+	NA	ECK120005132	NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase	NA	1822458	1823285	0	NP_416254.1
U00096_ncRNA_1823083_1823131	spy3'	1823084	1823131	-	NA	"U00096_ncRNA_1823083_1823131,spy3p,spy3',ECK125121999"	"ig:1096,ECK125122020"	ECK125121999	spy3'	NA	-	NA	ECK125122020	Spy3'	small RNA	NA	NA	NA	NA
b1741	cho	1823515	1824402	+	0	"b1741,ECK1739,G6937,ydjQ,cho,ECK120003525"	"Cho,endonuclease of nucleotide excision repair,sosD,YdjQ,ECK120007981,NP_416255.1"	ECK120003525	cho	b1741	+	NA	ECK120007981	excinuclease Cho	NA	1823515	1824402	0	NP_416255.1
b1742	ves	1824362	1824937	-	0	"b1742,ECK1740,G6938,ydjR,ves,ECK120003526"	"Ves,YdjR,ECK120007982,NP_416256.2"	ECK120003526	ves	b1742	-	NA	ECK120007982	HutD family protein Ves	NA	1824362	1824937	0	NP_416256.2
b1743	spy	1825140	1825625	-	0	"b1743,ECK1741,G6939,spy,ECK120003527"	"Spy,ECK120007983,NP_416257.1"	ECK120003527	spy	b1743	-	NA	ECK120007983	ATP-independent periplasmic chaperone	NA	1825140	1825625	0	NP_416257.1
b1744	astE	1825955	1826923	-	0	"b1744,ECK1742,G6940,ydjS,astE,ECK120003528"	"AstE,YdjS,ECK120007984,NP_416258.1"	ECK120003528	astE	b1744	-	NA	ECK120007984	succinylglutamate desuccinylase	NA	1825955	1826923	0	NP_416258.1
b1745	astB	1826916	1828259	-	0	"b1745,ECK1743,G6941,ydjT,astB,ECK120003529"	"AstB,YdjT,ECK120007985,NP_416259.1"	ECK120003529	astB	b1745	-	NA	ECK120007985	<i>N</i>-succinylarginine dihydrolase	NA	1826916	1828259	0	NP_416259.1
b1746	astD	1828256	1829734	-	0	"b1746,ECK1744,G6942,ydjU,astD,ECK120003530"	"AstD,YdjU,ECK120007986,NP_416260.1"	ECK120003530	astD	b1746	-	NA	ECK120007986	aldehyde dehydrogenase	NA	1828256	1829734	0	NP_416260.1
b1747	astA	1829731	1830765	-	0	"b1747,ECK1745,G6943,ydjV,astA,ECK120003531"	"AstA,YdjV,ECK120007987,NP_416261.1"	ECK120003531	astA	b1747	-	NA	ECK120007987	arginine <i>N</i>-succinyltransferase	NA	1829731	1830765	0	NP_416261.1
b1748	astC	1830762	1831982	-	0	"argM,b1748,cstC,ECK1746,G6944,ydjW,astC,ECK120003532"	"ArgM,AstC,CstC,YdjW,ECK120007988,NP_416262.1"	ECK120003532	astC	b1748	-	NA	ECK120007988	succinylornithine transaminase	NA	1830762	1831982	0	NP_416262.1
b1749	xthA	1832428	1833234	+	0	"b1749,ECK1747,EG11073,xth,xthA,ECK120001062"	"Endonuclease VI,Xth,XthA,ECK120005538,NP_416263.1"	ECK120001062	xthA	b1749	+	NA	ECK120005538	exodeoxyribonuclease III	NA	1832428	1833234	0	NP_416263.1
b1750	ydjX	1833401	1834111	+	0	"b1750,ECK1748,G6945,ydjX,ECK120003533"	"YdjX,ECK120007989,NP_416264.4"	ECK120003533	ydjX	b1750	+	NA	ECK120007989	DedA family protein YdjX	NA	1833401	1834111	0	NP_416264.4
b1751	ydjY	1834116	1834793	+	0	"b1751,ECK1749,G6946,ydjY,ECK120003534"	"YdjY,ECK120007990,NP_416265.4"	ECK120003534	ydjY	b1751	+	NA	ECK120007990	4Fe-4S ferredoxin-type domain-containing protein YdjY	NA	1834116	1834793	0	NP_416265.4
b1752	ydjZ	1834808	1835515	+	0	"b1752,ECK1750,G6947,ydjZ,ECK120003535"	"YdjZ,ECK120007991,NP_416266.1"	ECK120003535	ydjZ	b1752	+	NA	ECK120007991	DedA family protein YdjZ	NA	1834808	1835515	0	NP_416266.1
b1753	ynjA	1835515	1836063	+	0	"b1753,ECK1751,G6948,ynjA,ECK120003536"	"YnjA,ECK120007992,NP_416267.1"	ECK120003536	ynjA	b1753	+	NA	ECK120007992	AhpD-like domain-containing protein YnjA	NA	1835515	1836063	0	NP_416267.1
b1754	ynjB	1836073	1837239	+	0	"b1754,ECK1752,G6949,ynjB,ECK120003537"	"YnjB,ECK120007993,NP_416268.2"	ECK120003537	ynjB	b1754	+	NA	ECK120007993	putative ABC transporter periplasmic binding protein YnjB	NA	1836073	1837239	0	NP_416268.2
b1755	ynjC	1837212	1838747	+	0	"b1755,ECK1753,G6950,ynjC,ECK120003538"	"YnjC,ECK120007994,NP_416269.4"	ECK120003538	ynjC	b1755	+	NA	ECK120007994	putative ABC transporter membrane subunit YnjC	NA	1837212	1838747	0	NP_416269.4
b1756	ynjD	1838747	1839400	+	0	"b1756,ECK1754,G6951,ynjD,ECK120003539"	"YnjD,ECK120007995,NP_416270.1"	ECK120003539	ynjD	b1756	+	NA	ECK120007995	putative ABC transporter ATP-binding protein YnjD	NA	1838747	1839400	0	NP_416270.1
b1757	ynjE	1839467	1840774	+	0	"b1757,ECK1755,G6952,ynjE,ECK120003540"	"YnjE,YnjE sulfurtransferase,ECK120007996,NP_416271.4"	ECK120003540	ynjE	b1757	+	NA	ECK120007996	molybdopterin synthase sulfurtransferase	NA	1839467	1840774	0	NP_416271.4
b1758	ynjF	1840783	1841403	-	0	"b1758,ECK1756,G6953,ynjF,ECK120003541"	"YnjF,ECK120007997,NP_416272.2"	ECK120003541	ynjF	b1758	-	NA	ECK120007997	CDP-alcohol phosphatidyltransferase domain-containing protein YnjF	NA	1840783	1841403	0	NP_416272.2
b1759	nudG	1841490	1841897	+	0	"b1759,ECK1757,G6954,orf135,ynjG,nudG,ECK120003542"	"NudG,Orf135,YnjG,ECK120007998,NP_416273.1"	ECK120003542	nudG	b1759	+	NA	ECK120007998	5-hydroxy-CTP diphosphatase	NA	1841490	1841897	0	NP_416273.1
b1760	ynjH	1841863	1842135	-	0	"b1760,ECK1758,G6955,ynjH,ECK120003543"	"YnjH,ECK120007999,NP_416274.1"	ECK120003543	ynjH	b1760	-	NA	ECK120007999	DUF1496 domain-containing protein YnjH	NA	1841863	1842135	0	NP_416274.1
b1761	gdhA	1842371	1843714	+	0	"b1761,ECK1759,EG10372,gdhA,ECK120000365"	"GdhA,ECK120004841,NP_416275.1"	ECK120000365	gdhA	b1761	+	NA	ECK120004841	glutamate dehydrogenase	NA	1842371	1843714	0	NP_416275.1
b1762	ynjI	1843831	1844871	-	0	"b1762,ECK1760,G6956,ynjI,ECK120003544"	"YnjI,ECK120008000,NP_416276.4"	ECK120003544	ynjI	b1762	-	NA	ECK120008000	DUF1266 domain-containing protein YnjI	NA	1843831	1844871	0	NP_416276.4
b1763	topB	1844999	1846960	-	0	"b1763,ECK1761,EG11014,mutR,topB,ECK120001003"	"MutR,TopB,Topo III,ECK120005479,NP_416277.1"	ECK120001003	topB	b1763	-	NA	ECK120005479	DNA topoisomerase III	NA	1844999	1846960	0	NP_416277.1
b1764	selD	1846965	1848008	-	0	"b1764,ECK1762,EG10943,fdhB,selD,ECK120000932"	"FdhB,SelD,ECK120005408,NP_416278.1"	ECK120000932	selD	b1764	-	NA	ECK120005408	"selenide, water dikinase"	NA	1846965	1848008	0	NP_416278.1
b1765	ydjA	1848125	1848676	-	0	"b1765,ECK1763,EG11134,ydjA,ECK120001118"	"YdjA,ECK120005594,NP_416279.1"	ECK120001118	ydjA	b1765	-	NA	ECK120005594	putative oxidoreductase YdjA	NA	1848125	1848676	0	NP_416279.1
b1766	sppA	1848837	1850693	+	0	"b1766,ECK1764,EG10968,sppA,ECK120000957"	"SppA,ECK120005433,NP_416280.1"	ECK120000957	sppA	b1766	+	NA	ECK120005433	"protease IV, a signal peptide peptidase"	NA	1848837	1850693	0	NP_416280.1
b1767	ansA	1850860	1851876	+	0	"b1767,ECK1765,EG10045,ansA,ECK120000041"	"AnsA,asparaginase I,ECK120004517,NP_416281.1"	ECK120000041	ansA	b1767	+	NA	ECK120004517	L-asparaginase 1	NA	1850860	1851876	0	NP_416281.1
b1768	pncA	1851887	1852528	+	0	"b1768,ECK1766,EG11135,nam,ydjB,pncA,ECK120001119"	"Nam,PncA,YdjB,ECK120005595,NP_416282.4"	ECK120001119	pncA	b1768	+	NA	ECK120005595	nicotinamidase	NA	1851887	1852528	0	NP_416282.4
b1769	ydjE	1852621	1853979	-	0	"b1769,ECK1767,EG12369,ydjE,ECK120002237"	"YdjE,ECK120006712,NP_416283.1"	ECK120002237	ydjE	b1769	-	NA	ECK120006712	putative transporter YdjE	NA	1852621	1853979	0	NP_416283.1
b1770	ydjF	1854096	1854854	-	0	"b1770,ECK1768,G6957,ydjF,ECK120003545"	"YdjF,ECK120008001,NP_416284.1"	ECK120003545	ydjF	b1770	-	NA	ECK120008001	putative DNA-binding transcriptional regulator YdjF	NA	1854096	1854854	0	NP_416284.1
b1771	ydjG	1854991	1855971	-	0	"b1771,ECK1769,G6958,ydjG,ECK120003546"	"YdjG,ECK120008002,NP_416285.1"	ECK120003546	ydjG	b1771	-	NA	ECK120008002	NADH-dependent methylglyoxal reductase	NA	1854991	1855971	0	NP_416285.1
b1772	ydjH	1855981	1856928	-	0	"b1772,ECK1770,G6959,ydjH,ECK120003547"	"YdjH,ECK120008003,NP_416286.4"	ECK120003547	ydjH	b1772	-	NA	ECK120008003	putative sugar kinase YdjH	NA	1855981	1856928	0	NP_416286.4
b1773	ydjI	1856933	1857769	-	0	"b1773,ECK1771,G6960,ydjI,ECK120003548"	"YdjI,ECK120008004,NP_416287.1"	ECK120003548	ydjI	b1773	-	NA	ECK120008004	putative aldolase YdjI	NA	1856933	1857769	0	NP_416287.1
b1774	ydjJ	1857790	1858833	-	0	"b1774,ECK1772,G6961,ydjJ,ECK120003549"	"putative oxidoreductase, Zn-dependent and NAD(P)-binding,YdjJ,ECK120008005,NP_416288.1"	ECK120003549	ydjJ	b1774	-	NA	ECK120008005	putative zinc-binding dehydrogenase YdjJ	NA	1857790	1858833	0	NP_416288.1
b1775	ydjK	1858850	1860229	-	0	"b1775,ECK1773,G6962,ydjK,ECK120003550"	"YdjK,ECK120008006,NP_416289.1"	ECK120003550	ydjK	b1775	-	NA	ECK120008006	putative transporter YdjK	NA	1858850	1860229	0	NP_416289.1
b1776	ydjL	1860256	1861332	-	0	"b1776,ECK1774,G6963,ydjL,ECK120003551"	"putative oxidoreductase, Zn-dependent and NAD(P)-binding,YdjL,ECK120008007,NP_416290.1"	ECK120003551	ydjL	b1776	-	NA	ECK120008007	putative zinc-binding dehydrogenase YdjL	NA	1860256	1861332	0	NP_416290.1
b1777	yeaC	1861702	1861974	-	0	"b1777,ECK1775,G6964,yeaC,ECK120003552"	"YeaC,ECK120008008,NP_416291.4"	ECK120003552	yeaC	b1777	-	NA	ECK120008008	DUF1315 domain-containing protein YeaC	NA	1861702	1861974	0	NP_416291.4
b1778	msrB	1862016	1862429	-	0	"b1778,ECK1776,EG12394,yeaA,msrB,ECK120002257"	"MsrB,YeaA,ECK120006732,NP_416292.1"	ECK120002257	msrB	b1778	-	NA	ECK120006732	methionine sulfoxide reductase B	NA	1862016	1862429	0	NP_416292.1
b1779	gapA	1862771	1863766	+	0	"b1779,ECK1777,EG10367,gad,gap1,gapA,ECK120000360"	"Gad,Gap1,GapA,ECK120004836,NP_416293.1"	ECK120000360	gapA	b1779	+	NA	ECK120004836	glyceraldehyde-3-phosphate dehydrogenase A	NA	1862771	1863766	0	NP_416293.1
b1780	yeaD	1863850	1864734	+	0	"b1780,ECK1778,G6966,yzzQ,yeaD,ECK120003553"	"YeaD,YzzQ,ECK120008009,NP_416294.4"	ECK120003553	yeaD	b1780	+	NA	ECK120008009	putative aldose 1-epimerase YeaD	NA	1863850	1864734	0	NP_416294.4
b1781	yeaE	1864782	1865636	-	0	"b1781,ECK1779,G6967,yeaE,ECK120003554"	"YeaE,ECK120008010,NP_416295.1"	ECK120003554	yeaE	b1781	-	NA	ECK120008010	methylglyoxal reductase YeaE	NA	1864782	1865636	0	NP_416295.1
b1782	mipA	1865726	1866472	-	0	"b1782,ECK1780,G6968,yeaF,mipA,ECK120003555"	"MipA,scaffolding protein that interacts with murein polymerase and murein hydrolase,YeaF,ECK120008011,NP_416296.1"	ECK120003555	mipA	b1782	-	NA	ECK120008011	MltA-interacting protein	NA	1865726	1866472	0	NP_416296.1
b1783	yeaG	1866908	1868842	+	0	"b1783,ECK1781,G6969,yeaG,ECK120003556"	"YeaG,ECK120008012,NP_416297.1"	ECK120003556	yeaG	b1783	+	NA	ECK120008012	protein kinase YeaG	NA	1866908	1868842	0	NP_416297.1
b1784	yeaH	1868955	1870238	+	0	"b1784,ECK1782,G6970,yeaH,ECK120003557"	"YeaH,ECK120008013,NP_416298.1"	ECK120003557	yeaH	b1784	+	NA	ECK120008013	DUF444 domain-containing protein YeaH	NA	1868955	1870238	0	NP_416298.1
b1785	cdgI	1870385	1871860	+	0	"b1785,ECK1783,G6971,yeaI,cdgI,ECK120003558"	"CdgI,YeaI,ECK120008014,NP_416299.1"	ECK120003558	cdgI	b1785	+	NA	ECK120008014	putative c-di-GMP binding protein CdgI	NA	1870385	1871860	0	NP_416299.1
